age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
28,0,174666,0,6,5,0,2,0,1,0,0,80,39,<=50K
22,4,41763,15,10,4,8,2,0,1,0,0,25,39,<=50K
45,4,190482,11,9,0,7,5,0,1,0,0,40,39,<=50K
57,5,180211,14,15,2,10,1,3,1,0,0,50,36,>50K
30,5,127651,11,9,2,3,1,0,1,0,1887,48,39,>50K
43,2,231964,15,10,0,1,5,0,0,0,0,40,39,<=50K
34,4,182274,15,10,2,4,6,0,0,0,1887,40,39,>50K
23,4,211527,15,10,4,6,4,0,1,0,0,60,39,<=50K
31,4,173002,11,9,4,1,4,0,0,0,0,40,39,<=50K
66,2,75134,11,9,6,1,5,0,0,0,0,25,39,<=50K
34,0,353881,8,11,2,0,1,0,1,3103,0,60,39,>50K
31,4,173279,9,13,2,13,1,3,1,0,0,40,39,>50K
19,4,41400,11,9,4,6,4,0,1,0,0,30,39,<=50K
42,5,168071,11,9,2,12,1,0,1,0,0,43,39,>50K
65,4,90377,8,11,2,5,1,0,1,6767,0,60,39,<=50K
53,2,236873,12,14,2,4,1,2,1,0,0,40,39,>50K
24,4,170070,7,12,0,8,4,0,0,0,0,30,39,<=50K
36,4,99374,15,10,0,3,2,0,1,0,0,40,39,<=50K
45,4,131826,15,10,2,6,1,0,1,0,0,40,39,<=50K
17,4,52967,0,6,4,8,4,0,0,0,0,6,39,<=50K
48,6,179337,11,9,2,3,1,0,1,0,0,60,9,<=50K
23,4,235071,15,10,4,4,4,0,1,0,0,50,39,<=50K
30,4,184687,11,9,4,10,4,0,0,0,0,30,39,<=50K
32,4,133503,11,9,2,1,1,0,1,0,0,40,39,<=50K
21,0,306779,15,10,4,0,4,0,1,0,0,40,39,<=50K
25,4,177625,11,9,4,7,2,0,1,0,0,40,39,<=50K
49,4,187454,11,9,2,12,1,0,1,99999,0,65,39,>50K
47,5,119471,5,4,4,3,2,1,1,0,0,40,0,<=50K
33,4,104525,11,9,2,6,1,0,1,0,0,40,39,<=50K
53,4,479621,8,11,0,13,2,2,1,0,0,40,39,<=50K
33,4,132601,9,13,2,12,1,0,1,0,0,55,39,>50K
62,4,148113,0,6,2,3,1,2,1,0,0,40,39,<=50K
51,6,290290,9,13,2,10,1,0,1,0,0,45,39,>50K
60,4,36077,5,4,3,7,2,0,1,0,0,40,39,<=50K
29,4,280618,15,10,2,6,1,0,1,0,0,40,39,<=50K
30,4,108386,7,12,2,3,1,0,1,0,0,40,39,<=50K
23,4,222925,11,9,2,7,4,0,0,2105,0,40,39,<=50K
23,4,220168,11,9,4,12,3,2,0,0,0,25,23,<=50K
40,4,99434,11,9,2,8,6,0,0,0,0,12,39,<=50K
34,4,176711,11,9,4,1,4,0,1,0,0,40,39,<=50K
20,2,271354,11,9,4,1,4,0,1,0,0,40,39,<=50K
42,7,436006,15,10,2,1,1,2,1,0,0,40,39,<=50K
26,4,189219,7,12,4,1,2,0,0,0,0,8,39,<=50K
37,4,86551,9,13,2,4,1,0,1,0,0,50,39,>50K
39,1,472166,15,10,0,4,5,2,0,0,0,40,39,<=50K
24,4,304602,11,9,4,6,4,0,1,0,0,40,39,<=50K
61,2,176731,11,9,2,6,1,0,1,0,0,40,39,<=50K
21,4,334618,15,10,4,11,2,2,0,99999,0,40,39,>50K
33,4,228528,0,6,4,3,5,0,0,0,0,35,39,<=50K
25,0,239120,9,13,4,0,2,0,1,0,0,13,39,<=50K
81,4,364099,15,10,0,1,2,0,0,0,0,20,39,<=50K
34,5,314375,15,10,2,12,1,0,1,0,0,60,39,>50K
68,4,50351,12,14,4,1,2,0,0,6360,0,20,39,<=50K
43,4,195258,11,9,2,1,1,0,1,0,0,40,39,>50K
20,4,215495,15,10,4,1,4,0,0,0,0,40,26,<=50K
31,0,86143,11,9,2,0,1,3,1,0,0,40,30,<=50K
34,4,156464,9,13,0,4,2,0,1,0,0,85,9,>50K
63,4,230823,2,8,2,14,1,0,1,0,0,40,5,<=50K
19,4,261259,11,9,4,6,4,0,1,0,0,20,39,<=50K
34,4,203488,11,9,4,3,2,0,1,0,0,40,39,<=50K
37,4,545483,7,12,2,5,1,0,1,0,0,40,39,<=50K
24,4,198259,11,9,4,12,4,0,0,0,0,30,39,<=50K
43,0,214541,11,9,2,0,1,0,1,0,0,35,39,<=50K
32,4,193231,11,9,2,3,1,0,1,0,0,40,39,<=50K
40,4,257364,15,10,0,8,2,0,1,0,0,45,39,<=50K
37,4,65390,9,13,2,5,1,0,1,0,0,50,39,<=50K
41,4,112507,0,6,2,14,1,0,1,0,0,60,39,<=50K
21,0,220115,15,10,4,0,4,0,1,0,0,20,39,<=50K
22,4,138542,15,10,2,6,1,0,1,0,0,35,39,<=50K
54,4,174655,11,9,2,1,1,0,1,0,0,40,39,<=50K
21,4,417668,15,10,4,8,4,0,1,0,0,20,39,<=50K
48,4,202467,9,13,2,10,1,0,1,0,1485,40,39,>50K
83,0,251951,11,9,6,0,2,0,0,0,0,20,39,<=50K
39,2,301614,8,11,2,11,1,0,1,0,0,48,39,>50K
22,4,124971,9,13,4,12,2,0,1,0,0,40,39,<=50K
43,4,347934,11,9,5,12,2,0,0,0,0,30,39,<=50K
46,4,45363,14,15,0,10,2,0,1,0,2824,40,39,>50K
35,4,54576,11,9,2,7,1,0,1,0,0,40,39,<=50K
32,4,194981,11,9,2,13,6,0,0,0,0,36,39,<=50K
39,4,165235,9,13,5,10,5,3,0,0,0,40,30,>50K
48,4,193775,9,13,0,1,4,0,1,0,0,38,39,>50K
30,4,190511,11,9,2,7,1,0,1,0,0,40,39,>50K
24,4,170277,11,9,4,8,2,0,0,0,0,35,39,<=50K
19,4,41745,15,10,4,4,4,0,0,0,0,40,39,<=50K
67,4,165082,11,9,4,1,2,0,0,0,0,38,39,<=50K
51,4,138852,11,9,2,8,1,0,1,7298,0,40,8,>50K
61,4,167138,11,9,0,4,2,0,0,0,0,40,39,<=50K
63,4,268965,2,8,6,12,5,0,0,0,0,40,39,<=50K
39,4,103260,9,13,2,3,6,0,0,0,0,30,39,>50K
70,4,94692,9,13,2,12,1,0,1,0,0,70,39,>50K
50,4,100109,9,13,0,4,5,0,1,0,0,45,39,>50K
51,4,302579,11,9,0,8,3,2,0,0,0,30,39,<=50K
19,4,89397,11,9,4,8,4,0,1,0,0,40,39,<=50K
63,6,404547,11,9,2,3,1,0,1,0,0,30,39,<=50K
27,4,167031,9,13,4,10,5,1,0,0,0,33,39,<=50K
51,4,254230,15,10,2,4,1,0,1,0,0,40,39,>50K
19,4,143360,11,9,4,7,4,0,0,0,0,34,39,<=50K
20,4,214387,11,9,4,7,4,0,1,0,0,40,39,<=50K
20,6,197207,11,9,0,12,2,0,0,0,0,30,39,<=50K
41,4,221947,15,10,2,3,1,0,1,0,0,56,39,>50K
